state,city,place_name,category,sub_category,must_visit,description,duration_needed,best_time_to_visit,ideal_for
Maharashtra,Kolhapur,Padma Restaurant,Food & Dining,Food & Dining,Yes,Padma Restaurant - Popular local restaurant serving regional cuisine,1-2 hrs,Evening/Dinner,"Family, Couple, Solo"
Maharashtra,Alibaug,Kolaba Fort,Sightseeing,Heritage Fort,Yes,Kolaba Fort - Historic fort with architectural significance,2-3 hrs,Oct-Mar,"Family, Couple, Solo"
Maharashtra,Alibaug,Alibaug Beach,Sightseeing,Beach,Yes,Alibaug Beach - Beautiful coastal destination,2-3 hrs,Oct-Apr,"Family, Couple, Solo"
Maharashtra,Alibaug,Sri Krishna Restaurant,Food & Dining,Food & Dining,Yes,Sri Krishna Restaurant - Popular local restaurant serving regional cuisine,1-2 hrs,Evening/Dinner,"Family, Couple, Solo"
Rajasthan,Jaipur,Amber Fort,Sightseeing,Heritage Fort,Yes,Amber Fort - Historic fort with architectural significance,2-3 hrs,Oct-Mar,"Family, Couple, Solo"
Rajasthan,Jaipur,Hawa Mahal,Sightseeing,Tourist Spot,No,Hawa Mahal - Local attraction,1-2 hrs,Year-round,Tourist
Rajasthan,Jaipur,Laxmi Misthan Bhandar,Food & Dining,Food & Dining,Yes,Laxmi Misthan Bhandar - Popular local restaurant serving regional cuisine,1-2 hrs,Evening/Dinner,"Family, Couple, Solo"
Rajasthan,Udaipur,City Palace Udaipur,Sightseeing,Tourist Spot,No,City Palace Udaipur - Local attraction,1-2 hrs,Year-round,Tourist
Rajasthan,Udaipur,Lake Pichola,Sightseeing,Nature/Lake,Yes,Lake Pichola - Scenic lake destination,1-2 hrs,Year-round,"Family, Couple, Solo"
Rajasthan,Udaipur,Ambrai Restaurant,Food & Dining,Food & Dining,Yes,Ambrai Restaurant - Popular local restaurant serving regional cuisine,1-2 hrs,Evening/Dinner,"Family, Couple, Solo"
Rajasthan,Jodhpur,Mehrangarh Fort,Sightseeing,Heritage Fort,Yes,Mehrangarh Fort - Historic fort with architectural significance,2-3 hrs,Oct-Mar,"Family, Couple, Solo"
Rajasthan,Jodhpur,Jaswant Thada,Sightseeing,Tourist Spot,No,Jaswant Thada - Local attraction,1-2 hrs,Year-round,Tourist
Rajasthan,Jodhpur,Gypsy Restaurant,Food & Dining,Food & Dining,Yes,Gypsy Restaurant - Popular local restaurant serving regional cuisine,1-2 hrs,Evening/Dinner,"Family, Couple, Solo"
Rajasthan,Jaisalmer,Jaisalmer Fort,Sightseeing,Heritage Fort,Yes,Jaisalmer Fort - Historic fort with architectural significance,2-3 hrs,Oct-Mar,"Family, Couple, Solo"
Rajasthan,Jaisalmer,Sam Sand Dunes viewpoint,Sightseeing,Viewpoint,Yes,Sam Sand Dunes viewpoint - Scenic viewpoint with panoramic views,1-2 hrs,Morning/Sunset,"Family, Couple, Solo"
Rajasthan,Jaisalmer,Trio Restaurant,Food & Dining,Food & Dining,Yes,Trio Restaurant - Popular local restaurant serving regional cuisine,1-2 hrs,Evening/Dinner,"Family, Couple, Solo"
Rajasthan,Pushkar,Pushkar Lake,Sightseeing,Nature/Lake,Yes,Pushkar Lake - Scenic lake destination,1-2 hrs,Year-round,"Family, Couple, Solo"
Rajasthan,Pushkar,Brahma Temple,Sightseeing,Religious Site,Yes,Brahma Temple - Important religious and pilgrimage site,1-2 hrs,Year-round,"Family, Solo"
Rajasthan,Pushkar,Sixth Sense Rooftop Cafe,Food & Dining,Food & Dining,Yes,Sixth Sense Rooftop Cafe - Popular local restaurant serving regional cuisine,1-2 hrs,Evening/Dinner,"Family, Couple, Solo"
Rajasthan,Mount Abu,Dilwara Jain Temples,Sightseeing,Religious Site,Yes,Dilwara Jain Temples - Important religious and pilgrimage site,1-2 hrs,Year-round,"Family, Solo"
Rajasthan,Mount Abu,Sunset Point,Sightseeing,Viewpoint,Yes,Sunset Point - Scenic viewpoint with panoramic views,1-2 hrs,Morning/Sunset,"Family, Couple, Solo"
Rajasthan,Mount Abu,Kanha Restaurant,Food & Dining,Food & Dining,Yes,Kanha Restaurant - Popular local restaurant serving regional cuisine,1-2 hrs,Evening/Dinner,"Family, Couple, Solo"
Rajasthan,Bikaner,Junagarh Fort,Sightseeing,Heritage Fort,Yes,Junagarh Fort - Historic fort with architectural significance,2-3 hrs,Oct-Mar,"Family, Couple, Solo"
Rajasthan,Bikaner,Karni Mata Temple,Sightseeing,Religious Site,Yes,Karni Mata Temple - Important religious and pilgrimage site,1-2 hrs,Year-round,"Family, Solo"
Rajasthan,Bikaner,Chotu Motu Joshi,Food & Dining,Food & Dining,Yes,Chotu Motu Joshi - Popular local restaurant serving regional cuisine,1-2 hrs,Evening/Dinner,"Family, Couple, Solo"
Rajasthan,Ajmer,Ajmer Sharif Dargah,Sightseeing,Tourist Spot,No,Ajmer Sharif Dargah - Local attraction,1-2 hrs,Year-round,Tourist
Rajasthan,Ajmer,Ana Sagar Lake,Sightseeing,Nature/Lake,Yes,Ana Sagar Lake - Scenic lake destination,1-2 hrs,Year-round,"Family, Couple, Solo"
Rajasthan,Ajmer,Elite Restaurant,Food & Dining,Food & Dining,Yes,Elite Restaurant - Popular local restaurant serving regional cuisine,1-2 hrs,Evening/Dinner,"Family, Couple, Solo"
Rajasthan,Chittorgarh,Chittorgarh Fort,Sightseeing,Heritage Fort,Yes,Chittorgarh Fort - Historic fort with architectural significance,2-3 hrs,Oct-Mar,"Family, Couple, Solo"
Rajasthan,Chittorgarh,Vijay Stambh,Sightseeing,Tourist Spot,No,Vijay Stambh - Local attraction,1-2 hrs,Year-round,Tourist
Rajasthan,Chittorgarh,Local Rajasthani dhaba near fort road,Food & Dining,Heritage Fort,Yes,Local Rajasthani dhaba near fort road - Historic fort with architectural significance,2-3 hrs,Oct-Mar,"Family, Couple, Solo"
Kerala,Kochi,Fort Kochi & Chinese Fishing Nets,Sightseeing,Heritage Fort,Yes,Fort Kochi & Chinese Fishing Nets - Historic fort with architectural significance,2-3 hrs,Oct-Mar,"Family, Couple, Solo"
Kerala,Kochi,Mattancherry Palace,Sightseeing,Tourist Spot,No,Mattancherry Palace - Local attraction,1-2 hrs,Year-round,Tourist
Kerala,Kochi,Kayees Rahmathulla Cafe,Food & Dining,Food & Dining,Yes,Kayees Rahmathulla Cafe - Popular local restaurant serving regional cuisine,1-2 hrs,Evening/Dinner,"Family, Couple, Solo"
Kerala,Munnar,Munnar Tea Gardens,Sightseeing,Tourist Spot,No,Munnar Tea Gardens - Local attraction,1-2 hrs,Year-round,Tourist
Kerala,Munnar,Eravikulam National Park,Sightseeing,Tourist Spot,No,Eravikulam National Park - Local attraction,1-2 hrs,Year-round,Tourist
Kerala,Munnar,Rapsy Restaurant,Food & Dining,Food & Dining,Yes,Rapsy Restaurant - Popular local restaurant serving regional cuisine,1-2 hrs,Evening/Dinner,"Family, Couple, Solo"
Kerala,Alleppey,Alleppey Backwaters Houseboat,Sightseeing,Tourist Spot,No,Alleppey Backwaters Houseboat - Local attraction,1-2 hrs,Year-round,Tourist
Kerala,Alleppey,Kumarakom Bird Sanctuary,Sightseeing,Tourist Spot,No,Kumarakom Bird Sanctuary - Local attraction,1-2 hrs,Year-round,Tourist
Kerala,Alleppey,Chakara Restaurant,Food & Dining,Food & Dining,Yes,Chakara Restaurant - Popular local restaurant serving regional cuisine,1-2 hrs,Evening/Dinner,"Family, Couple, Solo"
Kerala,Thekkady,Periyar Wildlife Sanctuary,Sightseeing,Tourist Spot,No,Periyar Wildlife Sanctuary - Local attraction,1-2 hrs,Year-round,Tourist
Kerala,Thekkady,Spice plantations tour,Sightseeing,Tourist Spot,No,Spice plantations tour - Local attraction,1-2 hrs,Year-round,Tourist
Kerala,Thekkady,Ebony's Restaurant,Food & Dining,Food & Dining,Yes,Ebony's Restaurant - Popular local restaurant serving regional cuisine,1-2 hrs,Evening/Dinner,"Family, Couple, Solo"
Kerala,Wayanad,Edakkal Caves,Sightseeing,Tourist Spot,No,Edakkal Caves - Local attraction,1-2 hrs,Year-round,Tourist
Kerala,Wayanad,Chembra Peak viewpoint,Sightseeing,Viewpoint,Yes,Chembra Peak viewpoint - Scenic viewpoint with panoramic views,1-2 hrs,Morning/Sunset,"Family, Couple, Solo"
Kerala,Wayanad,Café Coffee Day Wayanad / local eateries,Food & Dining,Food & Dining,Yes,Café Coffee Day Wayanad / local eateries - Popular local restaurant serving regional cuisine,1-2 hrs,Evening/Dinner,"Family, Couple, Solo"
Kerala,Kovalam,Kovalam Beach & Lighthouse,Sightseeing,Beach,Yes,Kovalam Beach & Lighthouse - Beautiful coastal destination,2-3 hrs,Oct-Apr,"Family, Couple, Solo"
Kerala,Kovalam,Vizhinjam Marine Aquarium,Sightseeing,Tourist Spot,No,Vizhinjam Marine Aquarium - Local attraction,1-2 hrs,Year-round,Tourist
Kerala,Kovalam,Waves Restaurant,Food & Dining,Food & Dining,Yes,Waves Restaurant - Popular local restaurant serving regional cuisine,1-2 hrs,Evening/Dinner,"Family, Couple, Solo"
Kerala,Kumarakom,Kumarakom Backwaters,Sightseeing,Tourist Spot,No,Kumarakom Backwaters - Local attraction,1-2 hrs,Year-round,Tourist
Kerala,Kumarakom,Bird Sanctuary,Sightseeing,Tourist Spot,No,Bird Sanctuary - Local attraction,1-2 hrs,Year-round,Tourist
Kerala,Kumarakom,Kumarakom lakeside restaurants,Food & Dining,Nature/Lake,Yes,Kumarakom lakeside restaurants - Scenic lake destination,1-2 hrs,Year-round,"Family, Couple, Solo"
Kerala,Varkala,Varkala Cliff Beach,Sightseeing,Beach,Yes,Varkala Cliff Beach - Beautiful coastal destination,2-3 hrs,Oct-Apr,"Family, Couple, Solo"
Kerala,Varkala,Janardanaswamy Temple,Sightseeing,Religious Site,Yes,Janardanaswamy Temple - Important religious and pilgrimage site,1-2 hrs,Year-round,"Family, Solo"
Kerala,Varkala,Clafouti Cafe,Food & Dining,Food & Dining,Yes,Clafouti Cafe - Popular local restaurant serving regional cuisine,1-2 hrs,Evening/Dinner,"Family, Couple, Solo"
Kerala,Kozhikode,Kozhikode Beach,Sightseeing,Beach,Yes,Kozhikode Beach - Beautiful coastal destination,2-3 hrs,Oct-Apr,"Family, Couple, Solo"
Kerala,Kozhikode,Kappad Beach (historic),Sightseeing,Beach,Yes,Kappad Beach (historic) - Beautiful coastal destination,2-3 hrs,Oct-Apr,"Family, Couple, Solo"
Kerala,Kozhikode,Paragon Restaurant,Food & Dining,Food & Dining,Yes,Paragon Restaurant - Popular local restaurant serving regional cuisine,1-2 hrs,Evening/Dinner,"Family, Couple, Solo"
Tamil Nadu,Chennai,Marina Beach,Sightseeing,Beach,Yes,Marina Beach - Beautiful coastal destination,2-3 hrs,Oct-Apr,"Family, Couple, Solo"
Tamil Nadu,Chennai,Kapaleeshwarar Temple,Sightseeing,Religious Site,Yes,Kapaleeshwarar Temple - Important religious and pilgrimage site,1-2 hrs,Year-round,"Family, Solo"
Tamil Nadu,Chennai,Murugan Idli Shop,Food & Dining,Food & Dining,Yes,Murugan Idli Shop - Popular local restaurant serving regional cuisine,1-2 hrs,Evening/Dinner,"Family, Couple, Solo"
Tamil Nadu,Ooty,Ooty Botanical Garden,Sightseeing,Tourist Spot,No,Ooty Botanical Garden - Local attraction,1-2 hrs,Year-round,Tourist
Tamil Nadu,Ooty,Doddabetta Peak,Sightseeing,Viewpoint,Yes,Doddabetta Peak - Scenic viewpoint with panoramic views,1-2 hrs,Morning/Sunset,"Family, Couple, Solo"
Tamil Nadu,Ooty,Nahar's Nilgiris Bakery,Food & Dining,Food & Dining,Yes,Nahar's Nilgiris Bakery - Popular local restaurant serving regional cuisine,1-2 hrs,Evening/Dinner,"Family, Couple, Solo"
Tamil Nadu,Madurai,Meenakshi Amman Temple,Sightseeing,Religious Site,Yes,Meenakshi Amman Temple - Important religious and pilgrimage site,1-2 hrs,Year-round,"Family, Solo"
Tamil Nadu,Madurai,Thirumalai Nayakkar Mahal,Sightseeing,Tourist Spot,No,Thirumalai Nayakkar Mahal - Local attraction,1-2 hrs,Year-round,Tourist
Tamil Nadu,Madurai,Sree Sabarees,Food & Dining,Food & Dining,Yes,Sree Sabarees - Popular local restaurant serving regional cuisine,1-2 hrs,Evening/Dinner,"Family, Couple, Solo"
Tamil Nadu,Kodaikanal,Kodaikanal Lake,Sightseeing,Nature/Lake,Yes,Kodaikanal Lake - Scenic lake destination,1-2 hrs,Year-round,"Family, Couple, Solo"
Tamil Nadu,Kodaikanal,Coaker's Walk viewpoint,Sightseeing,Viewpoint,Yes,Coaker's Walk viewpoint - Scenic viewpoint with panoramic views,1-2 hrs,Morning/Sunset,"Family, Couple, Solo"
Tamil Nadu,Kodaikanal,Cloud Street Cafe,Food & Dining,Food & Dining,Yes,Cloud Street Cafe - Popular local restaurant serving regional cuisine,1-2 hrs,Evening/Dinner,"Family, Couple, Solo"
Tamil Nadu,Rameswaram,Ramanathaswamy Temple,Sightseeing,Religious Site,Yes,Ramanathaswamy Temple - Important religious and pilgrimage site,1-2 hrs,Year-round,"Family, Solo"
Tamil Nadu,Rameswaram,Dhanushkodi ghost town viewpoint,Sightseeing,Viewpoint,Yes,Dhanushkodi ghost town viewpoint - Scenic viewpoint with panoramic views,1-2 hrs,Morning/Sunset,"Family, Couple, Solo"
Tamil Nadu,Rameswaram,Ganesh Mess,Food & Dining,Food & Dining,Yes,Ganesh Mess - Popular local restaurant serving regional cuisine,1-2 hrs,Evening/Dinner,"Family, Couple, Solo"
Tamil Nadu,Kanyakumari,Vivekananda Rock Memorial,Sightseeing,Tourist Spot,No,Vivekananda Rock Memorial - Local attraction,1-2 hrs,Year-round,Tourist
Tamil Nadu,Kanyakumari,Sunrise-Sunset viewpoint (Cape),Sightseeing,Viewpoint,Yes,Sunrise-Sunset viewpoint (Cape) - Scenic viewpoint with panoramic views,1-2 hrs,Morning/Sunset,"Family, Couple, Solo"
Tamil Nadu,Kanyakumari,Sangam Restaurant,Food & Dining,Food & Dining,Yes,Sangam Restaurant - Popular local restaurant serving regional cuisine,1-2 hrs,Evening/Dinner,"Family, Couple, Solo"
Tamil Nadu,Mahabalipuram,Shore Temple,Sightseeing,Religious Site,Yes,Shore Temple - Important religious and pilgrimage site,1-2 hrs,Year-round,"Family, Solo"
Tamil Nadu,Mahabalipuram,Five Rathas,Sightseeing,Tourist Spot,No,Five Rathas - Local attraction,1-2 hrs,Year-round,Tourist
Tamil Nadu,Mahabalipuram,Moonrakers Restaurant,Food & Dining,Food & Dining,Yes,Moonrakers Restaurant - Popular local restaurant serving regional cuisine,1-2 hrs,Evening/Dinner,"Family, Couple, Solo"
Tamil Nadu,Coimbatore,Marudhamalai Temple,Sightseeing,Religious Site,Yes,Marudhamalai Temple - Important religious and pilgrimage site,1-2 hrs,Year-round,"Family, Solo"
Tamil Nadu,Coimbatore,VOC Park & Zoo,Sightseeing,Tourist Spot,No,VOC Park & Zoo - Local attraction,1-2 hrs,Year-round,Tourist
Tamil Nadu,Coimbatore,Annapoorna Restaurant,Food & Dining,Food & Dining,Yes,Annapoorna Restaurant - Popular local restaurant serving regional cuisine,1-2 hrs,Evening/Dinner,"Family, Couple, Solo"
Tamil Nadu,Thanjavur,Brihadeeswarar Temple,Sightseeing,Religious Site,Yes,Brihadeeswarar Temple - Important religious and pilgrimage site,1-2 hrs,Year-round,"Family, Solo"
Tamil Nadu,Thanjavur,Thanjavur Art Gallery,Sightseeing,Tourist Spot,No,Thanjavur Art Gallery - Local attraction,1-2 hrs,Year-round,Tourist
Tamil Nadu,Thanjavur,Sathars Restaurant,Food & Dining,Food & Dining,Yes,Sathars Restaurant - Popular local restaurant serving regional cuisine,1-2 hrs,Evening/Dinner,"Family, Couple, Solo"
Karnataka,Bangalore,Lalbagh Botanical Garden,Sightseeing,Tourist Spot,No,Lalbagh Botanical Garden - Local attraction,1-2 hrs,Year-round,Tourist
Karnataka,Bangalore,Bangalore Palace,Sightseeing,Tourist Spot,No,Bangalore Palace - Local attraction,1-2 hrs,Year-round,Tourist
Karnataka,Bangalore,MTR (Mavalli Tiffin Room),Food & Dining,Food & Dining,Yes,MTR (Mavalli Tiffin Room) - Popular local restaurant serving regional cuisine,1-2 hrs,Evening/Dinner,"Family, Couple, Solo"
Karnataka,Mysore,Mysore Palace,Sightseeing,Tourist Spot,No,Mysore Palace - Local attraction,1-2 hrs,Year-round,Tourist
Karnataka,Mysore,Chamundi Hills,Sightseeing,Viewpoint,Yes,Chamundi Hills - Scenic viewpoint with panoramic views,1-2 hrs,Morning/Sunset,"Family, Couple, Solo"
Karnataka,Mysore,Vinayaka Mylari,Food & Dining,Food & Dining,Yes,Vinayaka Mylari - Popular local restaurant serving regional cuisine,1-2 hrs,Evening/Dinner,"Family, Couple, Solo"
Karnataka,Coorg,Abbey Falls,Sightseeing,Tourist Spot,No,Abbey Falls - Local attraction,1-2 hrs,Year-round,Tourist
Karnataka,Coorg,Raja's Seat,Sightseeing,Viewpoint,Yes,Raja's Seat - Scenic viewpoint with panoramic views,1-2 hrs,Morning/Sunset,"Family, Couple, Solo"
Karnataka,Coorg,Coorg Cuisine.Com,Food & Dining,Food & Dining,Yes,Coorg Cuisine.Com - Popular local restaurant serving regional cuisine,1-2 hrs,Evening/Dinner,"Family, Couple, Solo"
Karnataka,Hampi,Virupaksha Temple,Sightseeing,Religious Site,Yes,Virupaksha Temple - Important religious and pilgrimage site,1-2 hrs,Year-round,"Family, Solo"
Karnataka,Hampi,Matanga Hill sunrise viewpoint,Sightseeing,Viewpoint,Yes,Matanga Hill sunrise viewpoint - Scenic viewpoint with panoramic views,1-2 hrs,Morning/Sunset,"Family, Couple, Solo"
Karnataka,Hampi,Mango Tree Restaurant,Food & Dining,Food & Dining,Yes,Mango Tree Restaurant - Popular local restaurant serving regional cuisine,1-2 hrs,Evening/Dinner,"Family, Couple, Solo"
Karnataka,Gokarna,Om Beach,Sightseeing,Beach,Yes,Om Beach - Beautiful coastal destination,2-3 hrs,Oct-Apr,"Family, Couple, Solo"
Karnataka,Gokarna,Mahabaleshwar Temple,Sightseeing,Religious Site,Yes,Mahabaleshwar Temple - Important religious and pilgrimage site,1-2 hrs,Year-round,"Family, Solo"
Karnataka,Gokarna,Namaste Cafe,Food & Dining,Food & Dining,Yes,Namaste Cafe - Popular local restaurant serving regional cuisine,1-2 hrs,Evening/Dinner,"Family, Couple, Solo"
Karnataka,Chikmagalur,Mullayanagiri Peak,Sightseeing,Viewpoint,Yes,Mullayanagiri Peak - Scenic viewpoint with panoramic views,1-2 hrs,Morning/Sunset,"Family, Couple, Solo"
Karnataka,Chikmagalur,Coffee plantations tour,Sightseeing,Tourist Spot,No,Coffee plantations tour - Local attraction,1-2 hrs,Year-round,Tourist
Karnataka,Chikmagalur,Coffee Bean Restaurant,Food & Dining,Food & Dining,Yes,Coffee Bean Restaurant - Popular local restaurant serving regional cuisine,1-2 hrs,Evening/Dinner,"Family, Couple, Solo"
Karnataka,Udupi,Sri Krishna Matha Temple,Sightseeing,Religious Site,Yes,Sri Krishna Matha Temple - Important religious and pilgrimage site,1-2 hrs,Year-round,"Family, Solo"
Karnataka,Udupi,Malpe Beach,Sightseeing,Beach,Yes,Malpe Beach - Beautiful coastal destination,2-3 hrs,Oct-Apr,"Family, Couple, Solo"
Karnataka,Udupi,Mitra Samaj Bhojanalay,Food & Dining,Food & Dining,Yes,Mitra Samaj Bhojanalay - Popular local restaurant serving regional cuisine,1-2 hrs,Evening/Dinner,"Family, Couple, Solo"
Karnataka,Badami,Badami Cave Temples,Sightseeing,Religious Site,Yes,Badami Cave Temples - Important religious and pilgrimage site,1-2 hrs,Year-round,"Family, Solo"
Karnataka,Badami,Agastya Lake viewpoint,Sightseeing,Nature/Lake,Yes,Agastya Lake viewpoint - Scenic lake destination,1-2 hrs,Year-round,"Family, Couple, Solo"
Karnataka,Badami,Local Badami dhabas,Food & Dining,Food & Dining,Yes,Local Badami dhabas - Popular local restaurant serving regional cuisine,1-2 hrs,Evening/Dinner,"Family, Couple, Solo"
Karnataka,Vijayapura (Bijapur),Gol Gumbaz,Sightseeing,Tourist Spot,No,Gol Gumbaz - Local attraction,1-2 hrs,Year-round,Tourist
Karnataka,Vijayapura (Bijapur),Ibrahim Rauza,Sightseeing,Tourist Spot,No,Ibrahim Rauza - Local attraction,1-2 hrs,Year-round,Tourist
Karnataka,Vijayapura (Bijapur),Kamat Restaurant,Food & Dining,Food & Dining,Yes,Kamat Restaurant - Popular local restaurant serving regional cuisine,1-2 hrs,Evening/Dinner,"Family, Couple, Solo"
Uttar Pradesh,Agra,Taj Mahal,Sightseeing,UNESCO Heritage Site,Yes,"World's most iconic marble mausoleum, symbol of eternal love",3-4 hrs,Oct-Mar (sunrise/sunset),"Family, Couple, Solo"
Uttar Pradesh,Agra,Agra Fort,Sightseeing,Heritage Fort,Yes,Agra Fort - Historic fort with architectural significance,2-3 hrs,Oct-Mar,"Family, Couple, Solo"
Uttar Pradesh,Agra,Pinch of Spice,Food & Dining,Food & Dining,Yes,Pinch of Spice - Popular local restaurant serving regional cuisine,1-2 hrs,Evening/Dinner,"Family, Couple, Solo"
Uttar Pradesh,Varanasi,Kashi Vishwanath Temple,Sightseeing,Religious Site,Yes,Kashi Vishwanath Temple - Important religious and pilgrimage site,1-2 hrs,Year-round,"Family, Solo"
Uttar Pradesh,Varanasi,Dashashwamedh Ghat,Sightseeing,Tourist Spot,No,Dashashwamedh Ghat - Local attraction,1-2 hrs,Year-round,Tourist
Uttar Pradesh,Varanasi,Blue Lassi Shop,Food & Dining,Food & Dining,Yes,Blue Lassi Shop - Popular local restaurant serving regional cuisine,1-2 hrs,Evening/Dinner,"Family, Couple, Solo"
Uttar Pradesh,Lucknow,Bara Imambara,Sightseeing,Tourist Spot,No,Bara Imambara - Local attraction,1-2 hrs,Year-round,Tourist
Uttar Pradesh,Lucknow,Chota Imambara,Sightseeing,Tourist Spot,No,Chota Imambara - Local attraction,1-2 hrs,Year-round,Tourist
Uttar Pradesh,Lucknow,Tunday Kababi,Food & Dining,Food & Dining,Yes,Tunday Kababi - Popular local restaurant serving regional cuisine,1-2 hrs,Evening/Dinner,"Family, Couple, Solo"
Uttar Pradesh,Mathura,Krishna Janmabhoomi Temple,Sightseeing,Religious Site,Yes,Krishna Janmabhoomi Temple - Important religious and pilgrimage site,1-2 hrs,Year-round,"Family, Solo"
Uttar Pradesh,Mathura,Vishram Ghat,Sightseeing,Tourist Spot,No,Vishram Ghat - Local attraction,1-2 hrs,Year-round,Tourist
Uttar Pradesh,Mathura,Brijwasi Sweets,Food & Dining,Food & Dining,Yes,Brijwasi Sweets - Popular local restaurant serving regional cuisine,1-2 hrs,Evening/Dinner,"Family, Couple, Solo"
Uttar Pradesh,Vrindavan,Banke Bihari Temple,Sightseeing,Religious Site,Yes,Banke Bihari Temple - Important religious and pilgrimage site,1-2 hrs,Year-round,"Family, Solo"
Uttar Pradesh,Vrindavan,ISKCON Temple,Sightseeing,Religious Site,Yes,ISKCON Temple - Important religious and pilgrimage site,1-2 hrs,Year-round,"Family, Solo"
Uttar Pradesh,Vrindavan,Vrindavan local prasad shops,Food & Dining,Food & Dining,Yes,Vrindavan local prasad shops - Popular local restaurant serving regional cuisine,1-2 hrs,Evening/Dinner,"Family, Couple, Solo"
Uttar Pradesh,Ayodhya,Ram Janmabhoomi Temple,Sightseeing,Religious Site,Yes,Ram Janmabhoomi Temple - Important religious and pilgrimage site,1-2 hrs,Year-round,"Family, Solo"
