id,state,city,name,category,cuisine,must_try_dish,notes
R015,Maharashtra,Aurangabad (Chhatrapati Sambhajinagar),Bhoj Restaurant,Casual Dining,Maharashtrian,Pav Bhaji,Restaurant mentioned in Places dataset serving local food.
R016,Maharashtra,Aurangabad (Chhatrapati Sambhajinagar),Kailash Hotel,Casual Dining,Maharashtrian and North Indian,Biryani,Well-known restaurant in Aurangabad city.
R017,Maharashtra,Aurangabad (Chhatrapati Sambhajinagar),Ajanta Restaurant,Casual Dining,Maharashtrian,Vada Pav,Local favorite near Ajanta caves area.
R018,Maharashtra,Aurangabad (Chhatrapati Sambhajinagar),Rama Restaurant,Casual Dining,Maharashtrian,Pav Bhaji,Traditional eatery in city center.
R019,Maharashtra,Lonavala,Adarsh Restaurant,Casual Dining,Maharashtrian,Vada Pav,Restaurant mentioned in Places dataset.
R020,Maharashtra,Lonavala,Tiger's Point Cafe,Cafe,Indian,Chikhalwali,Casual cafe near Tiger's Point viewpoint.
R021,Maharashtra,Lonavala,Bhaja Caves Restaurant,Casual Dining,Maharashtrian,Pav Bhaji,Local eatery near Bhaja Caves.
R022,Maharashtra,Lonavala,Karjat Dhaba,Casual Dining,Maharashtrian,Misal Pav,Highway dhaba serving authentic food.
R023,Maharashtra,Mahabaleshwar,Mapro Garden Restaurant,Casual Dining,Maharashtrian,Strawberry Dessert,Restaurant at Mapro Garden resort.
R024,Maharashtra,Mahabaleshwar,Peacock Restaurant,Casual Dining,Maharashtrian,Vada Pav,Local restaurant serving regional cuisine.
R025,Maharashtra,Mahabaleshwar,High Point Hotel,Casual Dining,Maharashtrian,Pav Bhaji,Hotel restaurant with traditional food.
R026,Maharashtra,Mahabaleshwar,Shreeji Restaurant,Casual Dining,Maharashtrian,Misal Pav,Family-run eatery in main market.
R027,Maharashtra,Nagpur,Haldiram's Nagpur,Casual Dining,Indian Sweets and Snacks,Kachori,Iconic sweets and snacks shop.
R028,Maharashtra,Nagpur,Nagpur Samrat,Casual Dining,Maharashtrian,Vada Pav,Popular local restaurant.
R029,Maharashtra,Nagpur,Shree Dhaba,Casual Dining,Maharashtrian,Misal Pav,Authentic dhaba near city center.
R030,Maharashtra,Nagpur,Madhuri Restaurant,Casual Dining,Maharashtrian,Pav Bhaji,Well-established local eatery.
R031,Maharashtra,Kolhapur,Padma Restaurant,Casual Dining,Maharashtrian,Misal Pav,Restaurant mentioned in Places dataset serving local cuisine.
R032,Maharashtra,Kolhapur,Shree Krishna Vada Pav,Street Food,Maharashtrian,Vada Pav,Popular vada pav stall.
R033,Maharashtra,Kolhapur,Rajadhani Bhojnalay,Casual Dining,Maharashtrian,Kolhapuri Mutton Curry,Traditional thali restaurant serving Kolhapuri specialty.
R034,Maharashtra,Kolhapur,Hotel Ramakrishna,Casual Dining,Maharashtrian,Pav Bhaji,Local favorite near Rankala Lake.
R035,Maharashtra,Alibaug,Sri Krishna Restaurant,Casual Dining,Coastal Cuisine,Seafood Curry,Restaurant mentioned in Places dataset.
R036,Maharashtra,Alibaug,Alibaug Beach Shack,Casual Dining,Seafood,Grilled Fish,Casual beachside eatery.
R037,Maharashtra,Alibaug,Dharma Restaurant,Casual Dining,Maharashtrian,Vada Pav,Traditional restaurant.
R038,Maharashtra,Alibaug,Kailash Hotel,Casual Dining,Seafood,Fish Fry,Beachfront restaurant.
R039,Rajasthan,Jaipur,Laxmi Misthan Bhandar,Casual Dining,Rajasthani,Dal Baati Churma,Legendary restaurant since 1954 serving authentic Rajasthani thali with sweets.
R040,Rajasthan,Jaipur,Niro's Restaurant,Casual Dining,North Indian and Rajasthani,Pav Bhaji,Popular multi-cuisine restaurant on M.I. Road.
R041,Rajasthan,Jaipur,Peacock Rooftop Restaurant,Casual Dining,Rajasthani,Gatte Ki Sabzi,Rooftop dining with traditional food.
R042,Rajasthan,Jaipur,Handi Restaurant,Casual Dining,Rajasthani,Dal Bhatti,Traditional eatery in old city.
R043,Rajasthan,Udaipur,Ambrai Restaurant,Casual Dining,Rajasthani,Dal Baati,Restaurant with Lake Pichola views serving local cuisine.
R044,Rajasthan,Udaipur,Natraj Bhojnalay,Casual Dining,Rajasthani,Gatte Ki Sabzi,Traditional vegetarian restaurant.
R045,Rajasthan,Udaipur,Sheesh Mahal Restaurant,Fine Dining,Rajasthani,Laal Maas,Fine dining establishment.
R046,Rajasthan,Udaipur,Shree Thaal,Casual Dining,Rajasthani,Pav Bhaji,Local restaurant serving regional dishes.
R047,Rajasthan,Jodhpur,Gypsy Restaurant,Casual Dining,Rajasthani,Ker Sangri,Restaurant mentioned in Places dataset.
R048,Rajasthan,Jodhpur,Darikhana Restaurant,Casual Dining,Rajasthani,Khichdi,Heritage restaurant with traditional recipes.
R049,Rajasthan,Jodhpur,On The Rocks,Casual Dining,Rajasthani,Dal Baati Churma,Restaurant on Mehrangarh Fort premises.
R050,Rajasthan,Jodhpur,Kalyan Niwas Restaurant,Casual Dining,Rajasthani,Bajra Roti,Authentic local eatery.
R051,Rajasthan,Jaisalmer,Trio Restaurant,Casual Dining,Rajasthani,Dal Baati,Restaurant mentioned in Places dataset.
R052,Rajasthan,Jaisalmer,Fort View Restaurant,Casual Dining,Rajasthani,Gatte Ki Sabzi,Traditional restaurant with fort views.
R053,Rajasthan,Jaisalmer,Mohan Bhojnalay,Casual Dining,Rajasthani,Pav Bhaji,Popular local eatery.
R054,Rajasthan,Jaisalmer,Desert Boy Guesthouse Restaurant,Casual Dining,Rajasthani,Ker Sangri,Guesthouse serving traditional fare.
R055,Rajasthan,Pushkar,Sixth Sense Rooftop Cafe,Cafe,Continental,Pasta,Restaurant mentioned in Places dataset with rooftop setting.
R056,Rajasthan,Pushkar,Pushkar Palace Restaurant,Casual Dining,Rajasthani,Dal Baati,Palace restaurant with traditional food.
R057,Rajasthan,Pushkar,Sara Cafe,Cafe,Multi-cuisine,Falafel,Hippie-friendly cafe near Brahma Temple.
R058,Rajasthan,Pushkar,Honey and Spice Restaurant,Casual Dining,Rajasthani,Gatte Ki Sabzi,Traditional restaurant.
R059,Rajasthan,Mount Abu,Kanha Restaurant,Casual Dining,Rajasthani,Dal Baati,Restaurant mentioned in Places dataset.
R060,Rajasthan,Mount Abu,Maharaja Restaurant,Casual Dining,Rajasthani,Ker Sangri,Popular hill station eatery.
R061,Rajasthan,Mount Abu,Arbuda Palace Restaurant,Fine Dining,Rajasthani,Pav Bhaji,Heritage palace restaurant.
R062,Rajasthan,Mount Abu,Shree Thaal,Casual Dining,Rajasthani,Bajra Roti,Traditional vegetarian restaurant.
R063,Rajasthan,Bikaner,Chotu Motu Joshi,Street Food,Rajasthani,Bhujia,Street food shop mentioned in Places dataset.
R064,Rajasthan,Bikaner,Bikaner House,Casual Dining,Rajasthani,Dal Baati Churma,Heritage restaurant in city.
R065,Rajasthan,Bikaner,Narayan Niwas Hotel,Casual Dining,Rajasthani,Gatte Ki Sabzi,Traditional family-run eatery.
R066,Rajasthan,Bikaner,Ashok Restaurant,Casual Dining,Rajasthani,Ker Sangri,Local favorite serving regional cuisine.
R067,Rajasthan,Ajmer,Elite Restaurant,Casual Dining,Rajasthani,Dal Baati,Restaurant mentioned in Places dataset.
R068,Rajasthan,Ajmer,Hindustan Restaurant,Casual Dining,Rajasthani,Pav Bhaji,Popular local eatery.
R069,Rajasthan,Ajmer,Subhash Restaurant,Casual Dining,Rajasthani,Misal Pav,Long-standing family restaurant.
R070,Rajasthan,Ajmer,Shree Thaal,Casual Dining,Rajasthani,Gatte Ki Sabzi,Vegetarian restaurant.
R071,Rajasthan,Chittorgarh,Local Rajasthani Dhaba,Casual Dining,Rajasthani,Dal Baati,Street dhaba near fort road mentioned in Places dataset.
R072,Rajasthan,Chittorgarh,Shree Niwas Hotel,Casual Dining,Rajasthani,Ker Sangri,Hotel restaurant serving traditional food.
R073,Rajasthan,Chittorgarh,Mehta Restaurant,Casual Dining,Rajasthani,Pav Bhaji,Long-established local eatery.
R074,Rajasthan,Chittorgarh,Vikram Palace Hotel,Casual Dining,Rajasthani,Bajra Roti,Heritage restaurant in city.
R075,Kerala,Kochi,Kayees Rahmathulla Cafe,Casual Dining,Kerala,Mutton Biryani,Iconic restaurant since 1948 serving signature Kayikka's Biryani.
R076,Kerala,Kochi,Paragon Restaurant,Casual Dining,Malabar,Prawn Mango Curry,Renowned modern Malabar cuisine restaurant.
R077,Kerala,Kochi,Gokul Ootupura,Casual Dining,South Indian,Idiyappam with Stew,Traditional Kerala breakfast spot serving appam and puttu.
R078,Kerala,Kochi,Shibu's Puttu Kada,Street Food,Kerala,Puttu with Beef Curry,Authentic late-night street food institution.
R079,Kerala,Munnar,Rapsy Restaurant,Casual Dining,Kerala,Fish Curry Meal,Restaurant mentioned in Places dataset.
R080,Kerala,Munnar,Tea Garden Cafe,Cafe,South Indian,Tea and Snacks,Casual cafe overlooking tea plantations.
R081,Kerala,Munnar,Sree Murali Restaurant,Casual Dining,Kerala,Puttu Curry,Local favorite serving traditional Kerala food.
R082,Kerala,Munnar,Top Station Restaurant,Casual Dining,Kerala,Appam,Tourist-friendly restaurant near viewpoint.
R083,Kerala,Alleppey,Chakara Restaurant,Casual Dining,Kerala,Fish Curry,Restaurant mentioned in Places dataset.
R084,Kerala,Alleppey,Alleppey Prince,Casual Dining,Kerala,Prawn Sadhya,Traditional restaurant serving Kerala meals.
R085,Kerala,Alleppey,Kottakkal Restaurant,Casual Dining,Kerala,Puttu Curry,Local eatery serving authentic backwater cuisine.
R086,Kerala,Alleppey,Dreamland Cafe,Cafe,South Indian,Coffee and Snacks,Casual waterfront cafe.
R087,Kerala,Thekkady,Ebony's Restaurant,Casual Dining,Kerala,Fish Curry Meal,Restaurant mentioned in Places dataset.
R088,Kerala,Thekkady,Periyar House Restaurant,Casual Dining,Kerala,Appam Stew,Traditional Kerala food restaurant.
R089,Kerala,Thekkady,Kumaran Restaurant,Casual Dining,Kerala,Puttu Curry,Local favorite serving spice plantation regional food.
R090,Kerala,Thekkady,Spice Garden Restaurant,Casual Dining,Kerala,Biryani,Restaurant with spice garden experience.
R091,Kerala,Wayanad,Local Cafe,Cafe,South Indian,Coffee and Tea,Local eatery mentioned in Places dataset.
R092,Kerala,Wayanad,Wayanad Heights Restaurant,Casual Dining,Kerala,Puttu Curry,Restaurant on hill station.
R093,Kerala,Wayanad,Leaf Restaurant,Casual Dining,Kerala,Fish Curry Meal,Organic food restaurant.
R094,Kerala,Wayanad,Kaadumkadasthan Cafe,Cafe,Kerala,Tea and Snacks,Local village cafe.
R095,Kerala,Kovalam,Waves Restaurant,Casual Dining,Seafood,Grilled Fish,Restaurant mentioned in Places dataset.
R096,Kerala,Kovalam,Ashoka Beach Restaurant,Casual Dining,Kerala,Fish Curry,Beach shack serving seafood.
R097,Kerala,Kovalam,Leela Restaurant,Casual Dining,Kerala,Prawn Biryani,Beachfront eatery.
R098,Kerala,Kovalam,Samudra Restaurant,Casual Dining,Seafood,Crab Masala,Seafood-focused restaurant.
R099,Kerala,Kumarakom,Lakeside Restaurants,Casual Dining,Kerala,Fish Curry Meal,Restaurant mentioned in Places dataset.
R100,Kerala,Kumarakom,Vembanad Lake Resort,Casual Dining,Kerala,Puttu Curry,Resort restaurant with backwater views.
R101,Kerala,Kumarakom,Bird Sanctuary Cafe,Cafe,South Indian,Coffee,Casual cafe near sanctuary.
R102,Kerala,Kumarakom,Kodathery Restaurant,Casual Dining,Kerala,Appam,Traditional restaurant.
R103,Kerala,Varkala,Clafouti Cafe,Cafe,Continental,Quiche,Cafe mentioned in Places dataset.
R104,Kerala,Varkala,Varkala Restaurant,Casual Dining,Kerala,Fish Curry Meal,Cliff-top restaurant.
R105,Kerala,Varkala,Leela Restaurant,Casual Dining,Kerala,Puttu Curry,Beachfront eatery.
R106,Kerala,Varkala,Temple Cafe,Cafe,South Indian,Coffee and Snacks,Cafe near Janardana Temple.
R107,Kerala,Kozhikode,Paragon Restaurant,Casual Dining,Malabar,Biryani,Legendary restaurant serving Malabar cuisine.
R108,Kerala,Kozhikode,Kozhikode Hotel,Casual Dining,Kerala,Puttu with Curry,Traditional hotel-restaurant.
R109,Kerala,Kozhikode,Kallayi Restaurant,Casual Dining,Seafood,Surmai Fry,Seafood specialist.
R110,Kerala,Kozhikode,Sreedharam Restaurant,Casual Dining,Kerala,Appam Stew,Local favorite.
R111,Tamil Nadu,Chennai,Murugan Idli Shop,Street Food,South Indian,Idli,Legendary breakfast spot serving soft idlis and dosas.
R112,Tamil Nadu,Chennai,Ratna Cafe,Casual Dining,South Indian,Dosa,Historic cafe serving traditional South Indian fare.
R113,Tamil Nadu,Chennai,Vasantha Bhavan,Casual Dining,South Indian,Idli Sambar,Classic vegetarian restaurant.
R114,Tamil Nadu,Chennai,Annalakshmi Restaurant,Casual Dining,South Indian,Appam,Traditional restaurant.
R115,Tamil Nadu,Ooty,Nahar's Nilgiris Bakery,Bakery,Bakery Items,Fruit Cake,Bakery mentioned in Places dataset.
R116,Tamil Nadu,Ooty,Ooty Savoy Hotel,Casual Dining,South Indian,Dosa,Hill station restaurant.
R117,Tamil Nadu,Ooty,Tea Factory Cafe,Cafe,South Indian,Tea and Biscuits,Casual tea garden cafe.
R118,Tamil Nadu,Ooty,Government Museum Cafe,Cafe,South Indian,Snacks,Museum cafe.
R119,Tamil Nadu,Madurai,Sree Sabarees,Casual Dining,South Indian,Puttu Kulambu,Restaurant mentioned in Places dataset.
R120,Tamil Nadu,Madurai,Arjun Hotel,Casual Dining,Tamil Nadu,Misal Pav,Traditional South Indian eatery.
R121,Tamil Nadu,Madurai,Murugan Idli,Street Food,South Indian,Idli,Branch of famous Chennai restaurant.
R122,Tamil Nadu,Madurai,Aaplabhojan Restaurant,Casual Dining,Tamil Nadu,Chukli,Local favorite.
R123,Tamil Nadu,Kodaikanal,Cloud Street Cafe,Cafe,Continental,Pasta,Cafe mentioned in Places dataset.
R124,Tamil Nadu,Kodaikanal,Hotel Lake View,Casual Dining,South Indian,Dosa,Lake-side restaurant.
R125,Tamil Nadu,Kodaikanal,Tea Garden Cafe,Cafe,South Indian,Tea and Snacks,Hill station cafe.
R126,Tamil Nadu,Kodaikanal,Sambar Restaurant,Casual Dining,South Indian,Sambar Rice,Local eatery.
R127,Tamil Nadu,Rameswaram,Ganesh Mess,Casual Dining,South Indian,Rice and Sambar,Restaurant mentioned in Places dataset.
R128,Tamil Nadu,Rameswaram,Sri Sarvagnan Hotel,Casual Dining,South Indian,Idli Sambar,Hotel serving temple town food.
R129,Tamil Nadu,Rameswaram,Ramakrishna Restaurant,Casual Dining,South Indian,Dosa,Local favorite.
R130,Tamil Nadu,Rameswaram,Hotel Aruna,Casual Dining,South Indian,Puttu Kulambu,Traditional eatery.
R131,Tamil Nadu,Kanyakumari,Sangam Restaurant,Casual Dining,South Indian,Fish Curry,Restaurant mentioned in Places dataset.
R132,Tamil Nadu,Kanyakumari,Hotel Kerala,Casual Dining,South Indian,Appam,Hotel restaurant.
R133,Tamil Nadu,Kanyakumari,Triveni Restaurant,Casual Dining,South Indian,Dosa,Cape-side eatery.
R134,Tamil Nadu,Kanyakumari,Srivari Hotel,Casual Dining,South Indian,Idli,Local restaurant.
R135,Tamil Nadu,Mahabalipuram,Moonrakers Restaurant,Casual Dining,Seafood,Grilled Fish,Restaurant mentioned in Places dataset.
R136,Tamil Nadu,Mahabalipuram,Seashell Restaurant,Casual Dining,Seafood,Crab Masala,Beach restaurant.
R137,Tamil Nadu,Mahabalipuram,Le Pondy Restaurant,Casual Dining,Continental,Pasta,Upscale beachfront dining.
R138,Tamil Nadu,Mahabalipuram,Mamalla Restaurant,Casual Dining,South Indian,Fish Curry,Local favorite.
R139,Tamil Nadu,Coimbatore,Annapoorna Restaurant,Casual Dining,South Indian,Dosa,Restaurant mentioned in Places dataset.
R140,Tamil Nadu,Coimbatore,Murugan Idli,Street Food,South Indian,Idli,Branch of famous Chennai chain.
R141,Tamil Nadu,Coimbatore,Saravana Bhavan,Casual Dining,South Indian,Uttapam,Vegetarian restaurant chain.
R142,Tamil Nadu,Coimbatore,Hotel Indra,Casual Dining,South Indian,Sambar Rice,Traditional eatery.
R143,Tamil Nadu,Thanjavur,Sathars Restaurant,Casual Dining,Tamil Nadu,Chicken Biryani,Restaurant mentioned in Places dataset.
R144,Tamil Nadu,Thanjavur,Hotel Chola,Casual Dining,Tamil Nadu,Dosa,Traditional restaurant.
R145,Tamil Nadu,Thanjavur,Sri Krishna Hotel,Casual Dining,South Indian,Puttu Kulambu,Local favorite.
R146,Tamil Nadu,Thanjavur,Sangeetha Restaurant,Casual Dining,South Indian,Idli,Vegetarian eatery.
R147,Karnataka,Bangalore,MTR (Mavalli Tiffin Room),Casual Dining,South Indian,Rava Idli,Iconic heritage restaurant since 1924 serving Rava Idli and Masala Dosa.
R148,Karnataka,Bangalore,Café Coffee Day,Cafe,Cafe,Coffee and Pastries,Modern cafe chain.
R149,Karnataka,Bangalore,Vidyarthi Bhavan,Casual Dining,South Indian,Dosa,Historic restaurant serving South Indian fare.
R150,Karnataka,Bangalore,Tiffin Room (CTR),Casual Dining,South Indian,Masala Dosa,Heritage restaurant in Malleshwaram.
R151,Karnataka,Mysore,Vinayaka Mylari,Street Food,South Indian,Dosa,Famous dosa shop mentioned in Places dataset.
R152,Karnataka,Mysore,Hotel Mayura,Casual Dining,South Indian,Idli,Hotel restaurant.
R153,Karnataka,Mysore,Hari Rao's Restaurant,Casual Dining,South Indian,Puttu,Traditional eatery.
R154,Karnataka,Mysore,Sangeetha Restaurant,Casual Dining,South Indian,Uppittu,Vegetarian restaurant.
R155,Karnataka,Coorg,Coorg Cuisine.Com,Casual Dining,Kodagu Cuisine,Pork Curry,Restaurant mentioned in Places dataset serving local Coorg food.
R156,Karnataka,Coorg,Mercara Mess,Casual Dining,Kodagu,Chicken Fry,Traditional Coorg restaurant.
R157,Karnataka,Coorg,Taj Orchid Restaurant,Casual Dining,Kodagu,Pulao,Hotel restaurant.
R158,Karnataka,Coorg,Malabar Hill Restaurant,Casual Dining,South Indian,Dosa,Local favorite.
R159,Karnataka,Hampi,Mango Tree Restaurant,Casual Dining,South Indian,Dosa,Restaurant mentioned in Places dataset.
R160,Karnataka,Hampi,Sunny Restaurant,Casual Dining,South Indian,Idli Sambar,Popular traveler spot.
R161,Karnataka,Hampi,Laxmi Restaurant,Casual Dining,South Indian,Rice and Sambar,Local favorite.
R162,Karnataka,Hampi,Goan Corner Restaurant,Casual Dining,Seafood,Fish Curry,Goan food specialist.
R163,Karnataka,Gokarna,Namaste Cafe,Cafe,Continental,Pasta,Cafe mentioned in Places dataset.
R164,Karnataka,Gokarna,Gokarna International,Casual Dining,Continental,Pizza,Beach shack.
R165,Karnataka,Gokarna,Dolphin Shack,Casual Dining,Seafood,Grilled Fish,Beachfront eatery.
R166,Karnataka,Gokarna,Om Beach Restaurant,Casual Dining,South Indian,Dosa,Beach restaurant.
R167,Karnataka,Chikmagalur,Coffee Bean Restaurant,Casual Dining,South Indian,Dosa,Restaurant mentioned in Places dataset.
R168,Karnataka,Chikmagalur,Mountain Shade Cafe,Cafe,South Indian,Coffee,Coffee plantation cafe.
R169,Karnataka,Chikmagalur,Hotel Ashoka,Casual Dining,South Indian,Idli,Hotel restaurant.
R170,Karnataka,Chikmagalur,Kallada Restaurant,Casual Dining,South Indian,Rice and Curry,Local eatery.
R171,Karnataka,Udupi,Mitra Samaj Bhojnalay,Casual Dining,South Indian,Dosa,Restaurant mentioned in Places dataset.
R172,Karnataka,Udupi,Shree Krishna Hotel,Casual Dining,South Indian,Idli,Traditional udipi restaurant.
R173,Karnataka,Udupi,Sri Venkateshwara Restaurant,Casual Dining,South Indian,Puttu Kulambu,Vegetarian eatery.
R174,Karnataka,Udupi,Hotel Maruthi,Casual Dining,South Indian,Uppittu,Family restaurant.
R175,Karnataka,Badami,Local Badami Dhaba,Casual Dining,South Indian,Dosa,Street dhaba mentioned in Places dataset.
R176,Karnataka,Badami,Hotel Badami,Casual Dining,South Indian,Idli Sambar,Hotel restaurant.
R177,Karnataka,Badami,Chalukya Restaurant,Casual Dining,South Indian,Rice Meal,Heritage restaurant.
R178,Karnataka,Badami,Sri Krishna Hotel,Casual Dining,South Indian,Sambar,Local favorite.
R179,Karnataka,Vijayapura (Bijapur),Kamat Restaurant,Casual Dining,North Karnataka,Biryani,Restaurant mentioned in Places dataset.
R180,Karnataka,Vijayapura (Bijapur),Hotel Ashoka,Casual Dining,North Karnataka,Puttu,Hotel restaurant.
R181,Karnataka,Vijayapura (Bijapur),Chandini Hotel,Casual Dining,North Karnataka,Roti,Traditional eatery.
R182,Karnataka,Vijayapura (Bijapur),Balaghat Restaurant,Casual Dining,North Karnataka,Rice Meal,Local favorite.
R183,Uttar Pradesh,Agra,Pinch of Spice,Fine Dining,Mughlai,Chicken Tikka,Restaurant mentioned in Places dataset serving authentic Mughlai cuisine.
R184,Uttar Pradesh,Agra,Peshawri,Fine Dining,Mughlai,Tandoori Chicken,ITC Mughal restaurant serving royal Mughlai recipes.
R185,Uttar Pradesh,Agra,Dasaprakash,Casual Dining,South Indian,Dosa,Multi-cuisine restaurant.
R186,Uttar Pradesh,Agra,Shankara Restaurant,Casual Dining,North Indian,Dal Makhani,Traditional restaurant.
R187,Uttar Pradesh,Varanasi,Blue Lassi Shop,Street Food,Uttar Pradesh,Lassi,Iconic street food shop since 1951 serving traditional lassi varieties.
R188,Uttar Pradesh,Varanasi,Baati Chokha Restaurant,Casual Dining,Bihari and Uttar Pradesh,Baati Chokha,Authentic restaurant serving Bihari comfort food.
R189,Uttar Pradesh,Varanasi,Kashi Chaat Bhandar,Street Food,Uttar Pradesh,Chaat,Traditional chaat specialist.
R190,Uttar Pradesh,Varanasi,Deena Chaat and Lassi,Street Food,Uttar Pradesh,Chaat,Famous chaat and lassi stall.
R191,Uttar Pradesh,Lucknow,Tunday Kababi,Casual Dining,Awadhi,Galauti Kebab,Restaurant mentioned in Places dataset serving Awadhi specialty.
R192,Uttar Pradesh,Lucknow,Iqbaals Biryani,Casual Dining,Awadhi,Biryani,Famous biryani restaurant.
R193,Uttar Pradesh,Lucknow,Dastarkhwan,Casual Dining,Awadhi,Shami Kebab,Traditional Awadhi cuisine.
R194,Uttar Pradesh,Lucknow,Shahnawaz Restaurant,Casual Dining,Mughlai,Dal Makhani,Mughlai restaurant.
R195,Uttar Pradesh,Mathura,Brijwasi Sweets,Dessert,Indian Sweets,Pedha,Sweet shop mentioned in Places dataset serving local mithai.
R196,Uttar Pradesh,Mathura,Radha Krishna Temple Prasad,Street Food,Vegetarian,Kheer Puri,Temple-offered traditional prasad.
R197,Uttar Pradesh,Mathura,Gupta Bhojnalay,Casual Dining,North Indian,Pav Bhaji,Local favorite.
R198,Uttar Pradesh,Mathura,Agra Restaurant,Casual Dining,North Indian,Dal Makhani,Traditional restaurant.
R199,Uttar Pradesh,Vrindavan,Local Prasad Shops,Street Food,Vegetarian,Khir Puri,Street food mentioned in Places dataset serving temple sweets.
R200,Uttar Pradesh,Vrindavan,Yamuna Bank Restaurant,Casual Dining,North Indian,Biryani,Restaurant with riverside setting.
R201,Uttar Pradesh,Vrindavan,Shree Krishna Hotel,Casual Dining,North Indian,Pav Bhaji,Local eatery.
R202,Uttar Pradesh,Vrindavan,Govind Vegetarian Restaurant,Casual Dining,Vegetarian North Indian,Dal Baati,Vegetarian specialist.
R203,Uttar Pradesh,Ayodhya,Local Awadhi Eateries,Casual Dining,Awadhi,Galauti Kebab,Local restaurants mentioned in Places dataset.
R204,Uttar Pradesh,Ayodhya,Ram's Dhaba,Casual Dining,North Indian,Pav Bhaji,Traditional dhaba.
R205,Uttar Pradesh,Ayodhya,Bhojnalaya,Casual Dining,North Indian,Dal Makhani,Family restaurant.
R206,Uttar Pradesh,Ayodhya,Sharma Restaurant,Casual Dining,North Indian,Biryani,Local favorite.
R207,Uttar Pradesh,Prayagraj (Allahabad),Local Prayagraj Eateries,Casual Dining,North Indian,Chaat,Street eateries mentioned in Places dataset.
R208,Uttar Pradesh,Prayagraj (Allahabad),Triveni Sangam Cafe,Cafe,North Indian,Samosa,Cafe by river confluence.
R209,Uttar Pradesh,Prayagraj (Allahabad),Allahabad Palace Hotel,Casual Dining,North Indian,Biryani,Heritage restaurant.
R210,Uttar Pradesh,Prayagraj (Allahabad),Sharma Restaurant,Casual Dining,North Indian,Dal Makhani,Local eatery.
R211,Uttar Pradesh,Jhansi,Local Bundelkhandi Dhaba,Casual Dining,Bundelkhandi,Biryani,Street dhaba mentioned in Places dataset.
R212,Uttar Pradesh,Jhansi,Jhansi Hotel,Casual Dining,North Indian,Pav Bhaji,Traditional restaurant.
R213,Uttar Pradesh,Jhansi,Rani Restaurant,Casual Dining,North Indian,Dal Makhani,Local favorite.
R214,Uttar Pradesh,Jhansi,Rani Mahal Cafe,Cafe,North Indian,Samosa,Fort-area cafe.
R215,Uttar Pradesh,Kushinagar,Local Buddhist Circuit Eateries,Casual Dining,North Indian,Veg Fried Rice,Restaurants mentioned in Places dataset.
R216,Uttar Pradesh,Kushinagar,Ashoka Hotel,Casual Dining,North Indian,Dal Makhani,Hotel restaurant.
R217,Uttar Pradesh,Kushinagar,Buddhist Temple Cafe,Cafe,Vegetarian,Noodles,Temple area cafe.
R218,Uttar Pradesh,Kushinagar,Peace Restaurant,Casual Dining,North Indian,Biryani,Pilgrimage-area eatery.
R219,Himachal Pradesh,Manali,Johnson's Cafe,Cafe,Continental,Pasta,Cafe mentioned in Places dataset.
R220,Himachal Pradesh,Manali,Chopsticks Restaurant,Casual Dining,Asian,Momos,Popular noodle restaurant.
R221,Himachal Pradesh,Manali,Pizza House,Casual Dining,Continental,Pizza,Hill station favorite.
